Time,"STREAMS(""FEED"").Fv","STREAMS(""DIST"").Fv","STREAMS(""BOTTOMS"").Fv"
Hours,m3/hr,m3/hr,m3/hr
3.47,115.434,56.0351,65.4732
3.48,115.42,56.039,65.4536
3.49,115.407,56.0429,65.434
3.5,115.393,56.0467,65.4145
3.51,115.38,56.0506,65.3957
3.52,116.544,56.0373,65.3003
3.53,115.768,56.0254,65.4588
3.54,115.788,56.0174,65.6707
3.55,115.809,56.0094,65.7624
3.56,115.829,56.0014,65.8067
3.57,115.849,55.9933,65.8358
3.58,115.869,55.9853,65.8622
3.59,115.889,55.9773,65.8886
3.6,115.909,55.9693,65.915
3.61,115.928,55.9618,65.9414
3.62,115.947,55.9542,65.9686
3.63,115.966,55.9467,65.9957
3.64,115.985,55.9392,66.0228
3.65,116.002,55.9323,66.0494
3.66,116.02,55.9255,66.0759
3.67,116.038,55.9186,66.1025
3.68,116.056,55.9118,66.129
3.69,116.073,55.905,66.1556
3.7,116.09,55.8986,66.1813
3.71,116.107,55.8923,66.207
3.72,116.124,55.886,66.2327
3.73,116.141,55.8797,66.2584
3.74,116.158,55.8734,66.2841
3.75,116.174,55.8676,66.3086
3.76,116.19,55.8619,66.3331
3.77,116.205,55.8561,66.3575
3.78,116.221,55.8503,66.382
3.79,116.237,55.8446,66.4065
3.8,116.253,55.8392,66.4296
3.81,116.268,55.8339,66.4527
3.82,116.283,55.8286,66.4759
3.83,116.298,55.8233,66.499
3.84,116.314,55.818,66.5221
3.85,116.329,55.8131,66.544
3.86,116.343,55.8083,66.5658
3.87,116.357,55.8034,66.5877
3.88,116.372,55.7985,66.6095
3.89,116.386,55.7937,66.6314
3.9,116.4,55.7888,66.652
3.91,116.414,55.7843,66.6727
3.92,116.428,55.7798,66.6933
3.93,116.441,55.7753,66.7139
3.94,116.455,55.7708,66.7346
3.95,116.469,55.7663,66.7542
3.96,116.482,55.7621,66.7738
3.97,116.495,55.7578,66.7934
3.98,116.508,55.7535,66.813
3.99,115.336,55.7632,66.8746
4,115.309,55.7888,66.6908
4.01,115.285,55.8183,66.4033
4.02,115.265,55.8479,66.1464
4.03,115.253,55.8791,65.8748
4.04,115.234,55.9089,65.6779
4.05,115.217,55.9357,65.5459
4.06,115.2,55.9595,65.4512
4.07,115.185,55.9802,65.3794
4.08,115.17,55.9997,65.3149
4.09,115.157,56.0152,65.2696
4.1,115.143,56.0307,65.2243
4.11,115.13,56.0438,65.1864
4.12,115.118,56.0546,65.1555
4.13,115.106,56.0654,65.1247
4.14,115.094,56.0762,65.0939
4.15,115.082,56.0847,65.0682
4.16,115.071,56.0919,65.045
4.17,115.059,56.0992,65.0218
4.18,115.048,56.1065,64.9986
4.19,115.037,56.1138,64.9754
4.2,115.026,56.1197,64.954
4.21,115.016,56.125,64.9335
4.22,115.006,56.1303,64.9131
4.23,114.995,56.1357,64.8926
4.24,114.985,56.141,64.8721
4.25,114.975,56.1452,64.8543
4.26,114.965,56.1494,64.8379
4.27,114.955,56.1533,64.8215
4.28,114.946,56.1573,64.8051
4.29,114.936,56.1613,64.7886
4.3,114.927,56.1645,64.7738
4.31,114.917,56.1677,64.7599
4.32,114.908,56.1707,64.7459
4.33,114.899,56.1736,64.7319
4.34,114.891,56.1766,64.7179
4.35,114.882,56.1795,64.7052
4.36,114.873,56.1819,64.6925
4.37,114.864,56.1843,64.6801
4.38,114.856,56.1868,64.6677
4.39,114.847,56.1892,64.6553
4.4,114.839,56.1916,64.6437
4.41,114.83,56.1936,64.6322
4.42,114.822,56.1956,64.621
4.43,114.814,56.1976,64.6097
4.44,114.806,56.1996,64.5985
4.45,114.798,56.2016,64.5872
4.46,114.79,56.2036,64.5767
4.47,114.782,56.2055,64.5661
4.48,114.774,56.2073,64.5555
4.49,114.766,56.2091,64.5449
4.5,115.955,56.1935,64.4806
4.51,115.988,56.1666,64.6806
4.52,116.015,56.1341,65.0013
4.53,116.042,56.0999,65.3348
4.54,116.068,56.0671,65.5794
4.55,116.091,56.0368,65.7503
4.56,116.113,56.0095,65.8751
4.57,116.135,55.9833,65.9855
4.58,116.154,55.9619,66.0591
4.59,116.174,55.9404,66.1328
4.6,116.193,55.922,66.1931
4.61,116.21,55.9064,66.2408
4.62,116.228,55.8908,66.2884
4.63,116.245,55.8752,66.3361
4.64,116.263,55.8628,66.3749
4.65,116.279,55.852,66.4093
4.66,116.294,55.8413,66.4437
4.67,116.31,55.8305,66.4781
4.68,116.326,55.8197,66.5125
4.69,116.342,55.8107,66.5436
4.7,116.357,55.8027,66.573
4.71,116.371,55.7946,66.6023
4.72,116.386,55.7866,66.6317
4.73,116.401,55.7786,66.6611
4.74,116.416,55.7718,66.6869
4.75,116.429,55.7657,66.7108
4.76,116.443,55.7596,66.7347
4.77,116.457,55.7535,66.7586
4.78,116.471,55.7474,66.7825
4.79,116.484,55.7424,66.8042
4.8,116.497,55.7374,66.8247
4.81,116.51,55.7326,66.8453
4.82,116.523,55.7278,66.8659
4.83,116.536,55.723,66.8864
4.84,116.549,55.7189,66.9055
4.85,116.561,55.7148,66.9239
4.86,116.573,55.711,66.9423
4.87,116.585,55.7071,66.9606
4.88,116.597,55.7033,66.979
4.89,116.609,55.6994,66.9961
4.9,116.621,55.696,67.0132
4.91,118.63,55.67,67.0963
4.92,118.71,55.6095,67.3965
4.93,118.781,55.545,67.9275
4.94,118.847,55.4839,68.3939
4.95,118.91,55.4274,68.7726
4.96,118.971,55.3745,69.0814
4.97,119.03,55.3252,69.3486
4.98,119.086,55.2823,69.5404
4.99,119.143,55.2395,69.7322
5,119.197,55.2007,69.8975
5.01,119.249,55.1685,70.0197
5.02,119.3,55.1363,70.1418
5.03,119.351,55.1041,70.264
5.04,119.402,55.0744,70.3765
5.05,119.449,55.0506,70.4674
5.06,119.496,55.0268,70.5584
5.07,119.544,55.003,70.6493
5.08,119.591,54.9793,70.7403
5.09,119.638,54.957,70.8277
5.1,119.683,54.9381,70.9074
5.11,119.727,54.9192,70.987
5.12,119.772,54.9003,71.0666
5.13,119.817,54.8814,71.1462
5.14,119.861,54.8636,71.2221
5.15,119.903,54.8482,71.2894
5.16,119.944,54.8328,71.3567
5.17,119.986,54.8174,71.424
5.18,120.028,54.802,71.4914
5.19,120.069,54.7874,71.5563
5.2,120.119,54.779,71.8288
5.21,120.159,54.7504,71.8497
5.22,120.195,54.7279,71.8666
5.23,120.232,54.7116,71.8959
5.24,120.269,54.6991,71.9303
5.25,120.305,54.6878,71.9661
5.26,120.341,54.6792,72.0052
5.27,120.377,54.6706,72.0442
5.28,120.413,54.6626,72.0846
5.29,120.448,54.6552,72.1263
5.3,120.484,54.6478,72.168
5.31,120.519,54.6404,72.2097
5.32,120.553,54.633,72.2536
5.33,120.588,54.6255,72.2987
5.34,120.622,54.6181,72.3438
5.35,120.657,54.6107,72.3888
5.36,120.691,54.6033,72.4339
5.37,120.725,54.5954,72.4813
5.38,120.758,54.5875,72.53
5.39,120.791,54.5795,72.5786
5.4,120.824,54.5715,72.6272
5.41,120.857,54.5634,72.6759
5.42,120.89,54.5553,72.7222
5.43,120.922,54.5472,72.7673
5.44,120.953,54.5391,72.8124
5.45,120.985,54.5311,72.8575
5.46,121.017,54.5231,72.9027
5.47,121.048,54.515,72.946
5.48,121.078,54.507,72.9883
5.49,121.108,54.4992,73.0307
5.5,121.139,54.4914,73.0731
5.51,121.169,54.4836,73.1155
5.52,121.199,54.4758,73.1563
5.53,121.228,54.4684,73.1964
5.54,121.256,54.461,73.2365
5.55,121.285,54.4536,73.2766
5.56,121.314,54.4462,73.3167
5.57,121.343,54.4388,73.3555
5.58,117.276,54.488,73.5262
5.59,117.154,54.5778,72.9627
5.6,117.05,54.6878,71.8149
5.61,116.956,54.7992,70.8155
5.62,116.868,54.9038,70.0799
5.63,116.783,55.0057,69.429
5.64,116.703,55.0978,68.9762
5.65,116.624,55.1869,68.5538
5.66,116.551,55.2625,68.2691
5.67,116.478,55.338,67.9843
5.68,116.408,55.4034,67.7555
5.69,116.341,55.4627,67.56
5.7,116.274,55.522,67.3645
5.71,116.21,55.5725,67.2013
5.72,116.15,55.6139,67.0717
5.73,116.09,55.6553,66.9422
5.74,116.029,55.6967,66.8127
5.75,115.969,55.7381,66.6831
5.76,115.912,55.7704,66.57
5.77,115.856,55.8012,66.4596
5.78,115.799,55.832,66.3491
5.79,115.742,55.8629,66.2386
5.8,115.686,55.8937,66.1282
5.81,115.633,55.9186,66.0324
5.82,115.579,55.9426,65.9389
5.83,115.526,55.9666,65.8455
5.84,115.473,55.9906,65.7521
5.85,115.42,56.0145,65.6586
5.86,115.37,56.0344,65.5765
5.87,115.32,56.0535,65.4962
5.88,115.27,56.0727,65.4158
5.89,115.22,56.0919,65.3355
5.9,115.17,56.111,65.2552
5.91,115.122,56.1272,65.1821
5.92,115.074,56.1433,65.1101
5.93,115.027,56.1592,65.0381
5.94,114.979,56.1751,64.9662
5.95,115.03,56.1855,64.6544
5.96,114.985,56.2141,64.6499
5.97,114.941,56.2354,64.6629
5.98,114.898,56.2501,64.6558
5.99,114.855,56.261,64.6341
6,114.811,56.2708,64.6077
6.01,114.768,56.2784,64.5696
6.02,114.725,56.2859,64.5315
6.03,114.681,56.2934,64.489
6.04,114.639,56.301,64.4424
6.05,114.596,56.3083,64.3958
6.06,114.554,56.3157,64.3491
6.07,114.511,56.3238,64.2981
6.08,114.469,56.332,64.2448
6.09,114.428,56.3402,64.1916
6.1,114.386,56.3485,64.1383
6.11,114.344,56.3568,64.0851
6.12,114.303,56.366,64.0282
6.13,114.262,56.3752,63.9695
6.14,114.221,56.3847,63.9108
6.15,114.18,56.3942,63.8521
6.16,114.139,56.4037,63.7934
6.17,114.1,56.4132,63.7371
6.18,114.06,56.423,63.6819
6.19,114.022,56.4327,63.6267
6.2,113.983,56.4425,63.5715
6.21,113.944,56.4523,63.5163
6.22,113.905,56.4621,63.463
6.23,113.868,56.4718,63.4107
6.24,113.831,56.4814,63.3584
6.25,113.793,56.4909,63.3061
6.26,113.756,56.5004,63.2538
6.27,113.719,56.5099,63.2032
6.28,113.683,56.519,63.1534
6.29,113.648,56.5281,63.1037
6.3,113.612,56.5372,63.0539
6.31,113.576,56.5463,63.0042
6.32,113.541,56.5554,62.956
6.33,113.506,56.564,62.9086
6.34,113.472,56.5727,62.8611
6.35,113.438,56.5813,62.8137
6.36,113.404,56.5899,62.7663
6.37,113.37,56.5985,62.7203
6.38,113.337,56.6067,62.6751
6.39,113.305,56.6149,62.6299
6.4,113.272,56.6231,62.5847
6.41,113.239,56.6312,62.5395
6.42,113.207,56.6394,62.4956
6.43,113.175,56.6472,62.4525
6.44,113.144,56.6549,62.4093
6.45,113.113,56.6627,62.3662
6.46,113.082,56.6704,62.3231
6.47,113.05,56.6782,62.2812
6.48,113.02,56.6855,62.2401
6.49,112.991,56.6928,62.1989
6.5,112.961,56.7002,62.1578
6.51,112.931,56.7075,62.1166
6.52,112.901,56.7149,62.0767
6.53,112.872,56.7219,62.0375
6.54,112.844,56.7288,61.9982
6.55,112.815,56.7358,61.9589
6.56,112.787,56.7428,61.9197
6.57,112.758,56.7498,61.8819
6.58,112.731,56.7564,61.8442
6.59,112.704,56.763,61.8068
6.6,112.676,56.7696,61.7693
6.61,112.649,56.7762,61.7319
6.62,112.622,56.7829,61.6956
6.63,118.536,56.7083,61.5066
6.64,118.715,56.5653,62.4439
6.65,118.873,56.3988,64.0543
6.66,119.014,56.2306,65.554
6.67,119.143,56.0737,66.6274
6.68,119.27,55.9214,67.5723
6.69,119.392,55.7768,68.3451
6.7,119.502,55.6531,68.8459
6.71,119.612,55.5311,69.3361
6.72,119.716,55.4255,69.7183
6.73,119.821,55.3214,70.0928
6.74,119.913,55.2425,70.3316
6.75,120.006,55.1636,70.5705
6.76,120.099,55.0846,70.8094
